Main_instr.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,name ,gender ,ag,date,expName,psychopyVersion,OS,frameRate,instr_BJW.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW.stopped,BJW_slider.response,BJW_slider.rt,BJW_slider.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,BJW_trials.ran,Text,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,tren.stopped,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,fb_tren.started,fb_tren.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,task_L.stopped,resp.keys,resp.corr,resp.rt,resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,loop_L.ran,slider.started,slider.stopped,sl_h.response,sl_h.rt,sl_h.history,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,l_slid.ran,q_sl,fin_sum.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,Get_points.stopped,textbox.text,thanks.started,thanks.stopped
0.0002,1.308,space,1.2888,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,1.3083,2.6409,space,1.3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,2.6605,3.6408,3,0.9791,"[{""rating"":3,""responseTime"":0.9791000000014893}]",0,0,0,0,1,"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,3.6421,3.8073,3,0.1572,"[{""rating"":3,""responseTime"":0.1572000000011169}]",0,1,1,1,1,"Как правило, жизнь ко мне справедлива.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,3.8093,3.9404,3,0.1312,"[{""rating"":3,""responseTime"":0.13120000000111887}]",0,2,2,2,1,"Я верю, что обычно получаю то, что заслуживаю.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,3.9415,4.0904,3,0.1414,"[{""rating"":3,""responseTime"":0.14140000000037212}]",0,3,3,3,1,В моей жизни в общем и целом всё происходит справедливо.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,4.0919,4.2402,3,0.1408,"[{""rating"":3,""responseTime"":0.14080000000074477}]",0,4,4,4,1,"В моей жизни несправедливость – скорее исключение, чем правило.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,4.2418,4.374,3,0.1244,"[{""rating"":3,""responseTime"":0.12440000000037266}]",0,5,5,5,1,"Я считаю, что в целом в моей жизни всё справедливо.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,4.3755,4.5082,3,0.1328,"[{""rating"":3,""responseTime"":0.13280000000074388}]",0,6,6,6,1,"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ы,g,0,2026-04-08_00h50.59.562,4_calibr_sum,2025.1.1,MacIntel,59.52380952,,,,,,4.5091,4.6739,3,0.1559,"[{""rating"":3,""responseTime"":0.15590000000037207}]",0,7,7,7,1,"Я считаю, что в целом мир справедлив.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
