Main_instr.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,name ,gender ,ag,date,expName,psychopyVersion,OS,frameRate,instr_BJW.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW.stopped,BJW_slider.response,BJW_slider.rt,BJW_slider.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,BJW_trials.ran,Text,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,tren.stopped,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,fb_tren.started,fb_tren.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,task_L.stopped,resp.keys,resp.corr,resp.rt,resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,loop_L.ran,slider.started,slider.stopped,sl_h.response,sl_h.rt,sl_h.history,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,l_slid.ran,q_sl,fin_sum.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,Get_points.stopped,textbox.text,thanks.started,thanks.stopped
0.0001,1.1897,space,1.176,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,1.1898,1.6565,space,0.4503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,1.6745,15.2392,3,13.5629,"[{""rating"":3,""responseTime"":13.562900000000372}]",0,0,0,0,1,"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,15.2406,15.6893,3,0.4413,"[{""rating"":3,""responseTime"":0.4413000000007443}]",0,1,1,1,1,"Как правило, жизнь ко мне справедлива.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,15.6908,15.8565,3,0.1576,"[{""rating"":3,""responseTime"":0.15760000000149077}]",0,2,2,2,1,"Я верю, что обычно получаю то, что заслуживаю.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,15.8579,15.9898,3,0.1319,"[{""rating"":3,""responseTime"":0.13190000000037472}]",0,3,3,3,1,В моей жизни в общем и целом всё происходит справедливо.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,15.9909,16.1562,3,0.1558,"[{""rating"":3,""responseTime"":0.15579999999888017}]",0,4,4,4,1,"В моей жизни несправедливость – скорее исключение, чем правило.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,16.1574,16.2897,3,0.1238,"[{""rating"":3,""responseTime"":0.12379999999888014}]",0,5,5,5,1,"Я считаю, что в целом в моей жизни всё справедливо.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,16.2914,16.4393,3,0.1468,"[{""rating"":3,""responseTime"":0.146800000000745}]",0,6,6,6,1,"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,п,п,п,2026-04-08_00h53.50.663,4_calibr_sum,2025.1.1,MacIntel,57.14285714,,,,,,16.4408,16.5895,3,0.1474,"[{""rating"":3,""responseTime"":0.14740000000037057}]",0,7,7,7,1,"Я считаю, что в целом мир справедлив.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
