Main_instr.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,name ,gender ,ag,date,expName,psychopyVersion,OS,frameRate,instr_BJW.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW.stopped,BJW_slider.response,BJW_slider.rt,BJW_slider.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,BJW_trials.ran,Text,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,tren.stopped,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,fb_tren.started,fb_tren.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,task_L.stopped,resp.keys,resp.corr,resp.rt,resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,loop_L.ran,slider.started,slider.stopped,sl_h.response,sl_h.rt,sl_h.history,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,l_slid.ran,q_sl,fin_sum.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,Get_points.stopped,textbox.text,thanks.started,thanks.stopped
0.0002,0.8382,space,0.8262,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,0.8384,1.4364,space,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,1.4562,3.0186,3,1.5541,"[{""rating"":3,""responseTime"":1.5540999999996252}]",0,0,0,0,1,"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,3.0205,3.1526,3,0.1239,"[{""rating"":3,""responseTime"":0.12390000000037205}]",0,1,1,1,1,"Как правило, жизнь ко мне справедлива.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,3.1541,3.3022,3,0.1467,"[{""rating"":3,""responseTime"":0.14670000000111827}]",0,2,2,2,1,"Я верю, что обычно получаю то, что заслуживаю.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,3.3037,3.4689,3,0.1652,"[{""rating"":3,""responseTime"":0.16520000000111779}]",0,3,3,3,1,В моей жизни в общем и целом всё происходит справедливо.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,3.4702,3.619,3,0.1479,"[{""rating"":3,""responseTime"":0.14789999999851133}]",0,4,4,4,1,"В моей жизни несправедливость – скорее исключение, чем правило.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,3.6205,3.7697,3,0.1492,"[{""rating"":3,""responseTime"":0.149200000001116}]",0,5,5,5,1,"Я считаю, что в целом в моей жизни всё справедливо.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,3.7709,3.9356,3,0.1646,"[{""rating"":3,""responseTime"":0.16459999999962704}]",0,6,6,6,1,"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_3,g,0,2026-04-08_00h42.42.216,4_calibr_sum,2025.1.1,MacIntel,60.24096386,,,,,,3.9368,4.1023,3,0.1639,"[{""rating"":3,""responseTime"":0.1639000000003712}]",0,7,7,7,1,"Я считаю, что в целом мир справедлив.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
